Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Satisfacción;Calificacion;Repetiria;Recomendaria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Canal_visitas_anteriores;Canal_familia;Canal_redes_sociales;Canal_otro;Horas_fuera_alojamiento;A_playa;A_gastronomia;A_ocio;A_senderismo;A_otro_deporte;Año
6;32;Finlandia;No;No;No;No;Si;7;5;349,345164;660,614836;5;3;9;4;7;9;3;1;3;1;Q1;Si;Si;Si;No;10;Si;Si;No;No;No;2019
6;16;Italia;No;No;No;No;Si;8;6;499,9636364;599,9563636;3;1;10;4;10;10;3;6;2;4;Q1;Si;Si;No;No;14;Si;No;No;No;No;2019
1;65;Finlandia;No;Si;No;No;No;7;4;293,6651567;555,3234433;2;2;7;3;6;8;4;7;3;2;Q1;Si;No;Si;No;6;No;No;No;No;Si;2019
1;39;Finlandia;No;Si;No;No;No;7;2;259,0889927;489,9396073;10;7;9;3;9;9;4;1;2;2;Q1;Si;Si;Si;No;14;Si;Si;Si;No;No;2019
1;60;Finlandia;No;No;Si;No;No;6;3;466,6082387;882,3603613;4;2;9;4;9;9;3;2;2;1;Q1;Si;No;No;No;1;Si;No;No;No;No;2019
6;53;Finlandia;No;Si;No;No;No;7;5;466,5944027;882,3341973;4;2;9;4;9;9;3;2;2;7;Q1;No;No;Si;No;7;Si;No;Si;No;No;2019
6;60;Finlandia;No;No;No;No;Si;7;4;115,5059027;218,4226973;3;2;2;3;5;8;3;7;1;1;Q1;No;No;Si;No;17;No;No;No;No;Si;2019
1;50;Finlandia;No;Si;No;No;No;7;5;300,0092308;1000,030769;3;2;9;3;10;10;3;2;3;2;Q1;Si;No;Si;No;3;Si;Si;No;No;No;2019
6;53;Otros;No;Si;Si;No;No;7;4;576,7057956;1191,787904;7;5;10;3;10;10;3;3;2;5;Q1;Si;No;Si;No;5;Si;No;No;No;No;2019
1;44;Otros;No;No;Si;No;No;10;5;780;1500;2;0;10;3;10;10;4;3;2;2;Q1;Si;No;No;No;1;No;No;No;No;Si;2019
6;39;Italia;No;No;Si;No;No;7;4;199,99;999,95;13;0;8;3;9;9;4;1;4;3;Q1;Si;No;Si;No;8;Si;Si;No;No;No;2019
6;59;Paises Bajos;No;Si;No;No;No;7;3;255,196095;822,035205;1;1;10;4;10;10;4;1;4;2;Q1;Si;Si;No;No;14;No;No;No;No;Si;2019
6;47;España;No;Si;No;No;No;3;2;39,99789474;339,9821053;7;2;10;4;10;10;4;1;1;2;Q1;Si;No;Si;No;4;Si;No;No;No;No;2019
1;37;Otros;Si;No;No;No;No;1;5;200;30;4;0;6;4;10;10;4;1;1;1;Q1;No;No;Si;No;8;No;No;No;No;Si;2019
6;31;España;No;Si;No;Si;No;4;3;150;420;4;0;8;3;8;8;4;1;2;2;Q1;No;Si;Si;No;7;Si;No;No;No;No;2019
6;59;Italia;No;No;No;No;Si;4;2;150;950;1;1;8;3;8;8;4;2;1;4;Q1;No;No;Si;No;10;Si;Si;No;No;No;2019
1;48;España;No;Si;No;No;No;4;4;178,22;353,78;6;6;10;3;10;10;4;5;1;2;Q1;Si;No;Si;No;15;Si;Si;Si;No;No;2019
1;80;Alemania;No;Si;No;No;No;28;2;820,6506234;1497,571477;4;0;9;4;9;9;2;7;2;1;Q1;No;No;No;No;3;No;No;No;No;Si;2019
1;44;Alemania;Si;No;No;No;No;17;2;1015,347083;1852,865017;20;20;9;3;10;10;4;1;3;1;Q1;Si;Si;No;No;10;No;Si;No;No;No;2019
6;70;Alemania;No;Si;No;No;No;28;4;1369,378943;2498,923157;7;0;9;3;9;9;4;7;3;2;Q1;Si;Si;No;No;7;Si;Si;No;No;No;2019
6;45;Alemania;No;Si;No;No;No;8;2;555,1506234;1013,071477;4;1;9;4;8;8;4;1;3;2;Q1;No;Si;Si;No;4;Si;Si;No;No;No;2019
1;55;Paises Bajos;No;Si;No;No;No;10;2;397,350309;1279,940991;7;6;8;3;7;7;3;3;3;3;Q1;Si;No;No;No;10;Si;No;No;No;No;2019
1;40;Italia;No;Si;No;No;No;9;4;400,0168421;1500,063158;2;2;7;3;5;5;4;2;1;2;Q1;No;No;No;No;8;Si;No;Si;No;No;2019
1;68;Alemania;No;Si;No;No;No;10;1;495,6;904,4;2;2;7;4;5;7;3;2;2;2;Q1;Si;No;Si;No;2;No;No;No;No;Si;2019
6;17;Alemania;No;Si;No;No;No;7;2;161,5026234;294,7194766;3;1;9;3;10;10;3;6;2;2;Q1;No;No;Si;No;12;Si;No;No;No;No;2019
1;68;Alemania;No;Si;No;No;No;14;2;1061,97168;1937,94832;5;0;8;3;8;8;4;7;4;2;Q1;Si;No;Si;No;6;No;No;No;No;Si;2019
1;41;Alemania;Si;No;No;No;No;4;1;307,7046234;561,5174766;2;1;10;4;10;10;4;2;3;1;Q1;Si;No;Si;No;12;Si;No;No;Si;No;2019
6;53;Alemania;No;Si;No;No;No;11;2;732,1506234;1336,071477;3;1;7;3;8;8;3;1;3;2;Q1;Si;No;Si;No;5;Si;No;No;No;No;2019
1;49;Alemania;Si;No;No;No;No;3;4;80,0025;240,0075;14;13;6;3;7;7;4;1;3;2;Q1;Si;No;No;No;10;Si;Si;Si;No;No;2019
6;23;Alemania;No;No;No;No;Si;7;6;59,99;299,95;25;4;10;5;10;10;4;6;4;2;Q1;No;No;Si;No;6;Si;No;Si;No;No;2019
1;56;Paises Bajos;Si;No;No;No;No;6;3;50,004;200,016;6;6;8;3;9;8;4;1;3;3;Q1;Si;No;Si;No;14;Si;No;No;Si;No;2019
6;44;Italia;No;No;Si;No;No;10;2;300,015;1700,085;7;2;10;4;7;8;4;2;2;3;Q1;No;No;No;No;9;Si;No;No;No;No;2019
1;54;Alemania;No;Si;No;No;No;7;5;270,016701;700,043299;20;20;9;3;9;9;4;3;4;2;Q1;Si;No;No;No;0;No;No;Si;No;No;2019
1;63;Alemania;No;Si;No;No;No;10;2;484,3506234;883,8714766;2;2;7;3;7;7;4;7;2;2;Q1;Si;No;No;No;6;Si;No;No;No;No;2019
1;52;Alemania;Si;No;No;No;No;20;6;250;800;20;20;7;3;10;10;3;2;3;1;Q1;Si;Si;Si;No;8;No;Si;Si;No;No;2019
6;43;Alemania;No;Si;No;No;No;8;3;348,4146234;635,8074766;2;2;8;3;7;7;3;1;3;2;Q1;No;No;No;No;8;Si;No;No;No;No;2019
1;74;Alemania;No;Si;No;Si;No;10;2;590,5506234;1077,671477;20;13;10;3;10;10;3;7;2;2;Q1;Si;No;Si;No;5;Si;No;No;No;No;2019
6;53;Suecia;No;Si;Si;No;No;7;1;1010,40849;1910,69151;8;6;7;2;10;10;4;7;2;2;Q1;Si;Si;Si;No;7;Si;Si;No;No;No;2019
6;54;Italia;Si;No;No;No;No;7;3;220,0067692;430,0132308;6;2;8;3;9;9;3;2;1;1;Q1;Si;No;No;No;12;Si;Si;No;No;No;2019
6;50;Suecia;No;Si;Si;No;No;7;3;1062,524759;2009,243841;5;3;8;4;10;10;4;1;3;4;Q1;No;No;No;No;2;No;No;No;Si;No;2019
1;22;Suecia;No;No;No;No;Si;7;4;200,3482547;378,8603453;3;2;7;3;5;5;4;6;2;2;Q1;Si;No;Si;No;6;Si;No;No;No;No;2019
1;52;Suecia;No;Si;Si;No;No;7;3;486,6669797;920,2916203;5;3;7;3;7;7;3;1;3;2;Q1;Si;No;Si;No;2;No;No;No;No;Si;2019
6;63;Suecia;No;Si;No;No;No;7;3;202,081698;382,138302;10;8;8;4;10;10;4;2;3;2;Q1;Si;No;Si;No;6;Si;Si;No;No;No;2019
6;53;Suecia;No;Si;No;No;No;7;1;705,5282867;1334,160313;11;8;10;5;10;10;4;7;4;3;Q1;Si;No;Si;No;8;Si;No;No;Si;No;2019
6;20;Alemania;No;Si;No;No;No;6;1;484,3506234;883,8714766;2;2;10;3;10;10;4;2;4;20;Q1;Si;No;Si;No;5;Si;No;Si;Si;No;2019
6;28;Otros;No;Si;No;No;No;7;2;1166,76;1166,76;2;1;10;5;10;10;3;3;1;2;Q1;Si;No;Si;No;10;Si;Si;No;No;No;2019
