Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
6;53;España;No;Si;No;No;No;9;2;1500;4.900;924;4;3;1;3;10;4;1;2;3;Q1;2022
1;58;Alemania;No;Si;No;No;No;7;2;506;892;202;6;1;1;4;9;4;1;4;1;Q2;2022
1;32;Alemania;No;Si;No;No;No;6;2;735;1029;535;12;1;1;4;10;4;1;2;1;Q3;2022
1;36;España;No;No;No;Si;No;7;4;1200;600;1000;10;3;1;3;10;4;1;4;2;Q1;2022
1;42;Alemania;No;No;Si;No;No;10;2;1569;2.196;1035;10;2;2;4;10;4;1;3;4;Q3;2022
6;26;Alemania;No;Si;No;No;No;5;7;200;400;414;6;3;3;4;9;4;1;2;2;Q2;2022
1;76;España;No;Si;No;No;No;12;3;650;1.223;127;12;16;4;3;10;3;7;2;2;Q1;2022
1;80;Alemania;No;Si;No;No;No;14;4;1.629;2.871;100;0;5;2;3;6;4;7;2;2;Q2;2022
1;56;España;No;No;No;No;Si;10;2;600;2.531;620;10;5;4;3;10;4;1;2;1;Q1;2022
1;56;Alemania;No;No;Si;No;No;8;2;779;1.374;825;12;8;3;3;10;4;1;3;3;Q2;2022
6;78;Alemania;No;Si;No;No;No;18;5;900;1150;1000;7;5;0;3;10;2;7;2;2;Q3;2022
1;37;Alemania;Si;No;No;No;No;7;3;253;447;600;7;6;5;3;9;4;1;4;1;Q2;2022
6;32;España;No;No;Si;No;No;4;2;200;300;500;6;2;0;3;8;3;2;3;3;Q3;2022
6;62;Alemania;No;Si;No;No;No;7;2;308;542;250;6;3;1;3;10;4;7;3;3;Q2;2022
6;28;Bélgica;No;Si;No;No;No;7;2;666;1.034;300;10;2;2;4;10;4;1;4;4;Q2;2022
1;45;Francia;No;Si;No;No;No;7;6;200;500;150;6;2;0;4;9;4;1;3;2;Q1;2022
1;56;Francia;No;No;Si;No;No;5;2;1.787;3087;526;8;1;1;3;10;4;1;4;4;Q1;2022
1;56;Paises Bajos;No;No;No;Si;No;10;2;2.441;3.353;206;2;2;0;4;9;3;1;2;4;Q2;2022
1;56;Francia;Si;No;No;No;No;7;2;800;2.600;300;12;10;10;3;10;4;1;4;2;Q1;2022
1;31;Paises Bajos;No;Si;No;No;No;8;2;532;731;500;5;1;1;3;6;3;3;1;2;Q2;2022
1;48;Francia;No;No;No;Si;No;7;4;500;700;600;2;1;1;3;10;4;1;3;1;Q1;2022
6;59;Paises Bajos;No;Si;No;No;No;7;2;545;749;486;6;2;2;4;7;4;3;3;2;Q2;2022
6;53;Paises Bajos;No;No;Si;No;No;7;4;670;1104;1151;2;1;0;5;10;4;1;2;1;Q3;2022
1;53;Francia;Si;No;No;No;No;11;5;834;1440;153;3;4;1;4;10;3;1;1;1;Q1;2022
6;19;Paises Bajos;No;Si;No;No;No;9;5;756;1038;1316;5;2;1;3;10;3;4;1;2;Q2;2022
6;48;Paises Bajos;No;No;Si;No;No;8;4;891;1468;341;9;4;1;3;8;4;1;2;2;Q3;2022
