Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
1;65;Suiza;No;No;Si;No;No;7;2;689;1.302;641;10;15;13;3;7;3;7;3;2;Q1;2019
1;45;Suiza;No;Si;No;No;No;6;2;655;1.239;2.128;10;4;4;3;8;3;3;3;5;Q1;2019
6;71;Suiza;No;Si;No;No;No;14;2;891;1.685;445;6;14;6;3;10;4;3;2;2;Q1;2019
1;62;Suiza;No;Si;No;No;No;14;2;722;1.366;1.012;8;3;3;3;8;3;7;3;2;Q1;2019
6;30;Suiza;No;No;No;No;Si;7;2;2.238;4.232;347;10;2;2;5;10;3;1;2;1;Q1;2019
1;37;Suiza;No;Si;No;No;No;6;3;419;793;543;8;4;4;5;8;4;6;2;2;Q1;2019
1;68;Suiza;No;No;No;Si;No;7;2;638;1.207;640;9;7;7;3;7;3;7;3;2;Q1;2019
1;63;Suiza;No;Si;No;No;No;7;4;573;1.084;421;6;16;15;4;10;3;2;2;2;Q1;2019
1;63;Suiza;No;Si;No;No;No;7;2;247;468;445;2;5;5;4;7;4;7;4;2;Q1;2019
6;63;Suiza;No;Si;No;No;No;14;4;453;857;751;8;20;17;3;9;3;7;1;2;Q1;2019
6;52;Suiza;No;Si;No;No;No;7;2;269;510;550;9;8;1;3;10;4;7;4;2;Q1;2019
1;47;Suiza;No;Si;No;No;No;14;2;1.295;2.449;351;2;15;14;4;10;2;3;3;2;Q1;2019
6;50;Suiza;No;No;Si;No;No;14;3;1.228;2.321;347;2;12;7;3;10;4;2;1;4;Q1;2019
